id_conciliacao,id_conta,id_movimentacao,data_conciliacao,status_conciliacao,diferenca_valor,observacao
1,392,498,2026-05-27,Conciliado,0.0,Conciliação automática
2,338,440,2026-04-30,Conciliado,0.0,Conciliação automática
3,34,16,2026-05-08,Inconsistente,8121.73,Divergência de R$ 8121.73
4,27,21,2025-12-28,Inconsistente,11531.94,Divergência de R$ 11531.94
5,149,180,2026-03-03,Conciliado,0.0,Conciliação automática
6,234,263,2026-03-03,Conciliado,0.0,Conciliação automática
7,93,127,2026-09-13,Conciliado,0.0,Conciliação automática
8,163,217,2026-07-12,Conciliado,0.0,Conciliação automática
9,30,6,2026-07-18,Conciliado,0.0,Conciliação automática
10,302,398,2026-03-19,Conciliado,0.0,Conciliação automática
11,130,177,2026-03-16,Conciliado,0.0,Conciliação automática
12,256,323,2026-10-16,Conciliado,0.0,Conciliação automática
13,88,120,2026-04-01,Conciliado,0.0,Conciliação automática
14,330,444,2026-04-19,Conciliado,0.0,Conciliação automática
15,114,148,2026-09-28,Conciliado,0.0,Conciliação automática
16,148,176,2026-10-06,Conciliado,0.0,Conciliação automática
17,245,348,2026-04-19,Conciliado,0.0,Conciliação automática
18,333,436,2026-05-29,Conciliado,0.0,Conciliação automática
19,61,68,2026-09-13,Conciliado,0.0,Conciliação automática
20,250,332,2026-06-26,Conciliado,0.0,Conciliação automática
21,152,167,2026-09-03,Conciliado,0.0,Conciliação automática
22,373,453,2026-06-17,Conciliado,0.0,Conciliação automática
23,280,340,2025-10-01,Inconsistente,22169.61,Divergência de R$ 22169.61
24,36,47,2026-08-29,Conciliado,0.0,Conciliação automática
25,107,145,2026-08-24,Conciliado,0.0,Conciliação automática
26,384,494,2026-03-17,Conciliado,0.0,Conciliação automática
27,12,50,2026-04-02,Conciliado,0.0,Conciliação automática
28,370,479,2026-07-27,Conciliado,0.0,Conciliação automática
29,46,93,2026-04-23,Conciliado,0.0,Conciliação automática
30,206,265,2026-10-11,Conciliado,0.0,Conciliação automática
31,347,415,2026-06-11,Conciliado,0.0,Conciliação automática
32,18,32,2026-04-20,Inconsistente,854.31,Divergência de R$ 854.31
33,321,431,2026-07-21,Conciliado,0.0,Conciliação automática
34,167,229,2026-07-22,Conciliado,0.0,Conciliação automática
35,337,402,2026-06-30,Conciliado,0.0,Conciliação automática
36,241,337,2026-10-09,Conciliado,0.0,Conciliação automática
37,145,161,2026-08-13,Conciliado,0.0,Conciliação automática
38,271,345,2026-05-02,Conciliado,0.0,Conciliação automática
39,74,54,2026-04-11,Conciliado,0.0,Conciliação automática
40,209,285,2026-05-31,Conciliado,0.0,Conciliação automática
