id_conta,id_empresa,id_cliente,id_fornecedor,tipo_titulo,valor_original,valor_pago,data_vencimento,data_pagamento,status_pagamento,descricao_pagamento
1,1,,4.0,A Pagar,11717.97,11717.97,2026-06-21,2026-06-19,Pago,Similique est provident minima.
2,1,26.0,,A Receber,45493.85,45493.85,2025-10-31,2025-10-30,Pago,Omnis natus culpa.
3,1,,34.0,A Pagar,9235.69,0.0,2025-10-02,,Vencido,Veniam blanditiis et sunt quas quisquam.
4,1,,16.0,A Pagar,45427.66,45427.66,2026-09-13,2026-09-10,Pago,Vero esse quia reprehenderit odio.
5,1,,35.0,A Pagar,27748.18,27748.18,2026-07-14,2026-07-17,Pago,Quod autem delectus.
6,1,22.0,,A Receber,27580.7,0.0,2026-07-25,,Vencido,Nulla non nostrum nisi doloremque ad.
7,1,,28.0,A Pagar,24678.27,0.0,2025-10-07,,Vencido,Consequatur sapiente iusto officiis delectus harum.
8,1,,15.0,A Pagar,35029.14,0.0,2026-03-24,,Pendente,Deserunt adipisci quisquam accusamus.
9,1,,40.0,A Pagar,22284.68,22284.68,2025-12-27,2025-12-24,Pago,Dolore perferendis dicta dignissimos debitis.
10,1,30.0,,A Receber,8482.34,0.0,2026-10-14,,Pendente,Sint laudantium eveniet itaque doloribus.
11,1,2.0,,A Receber,1945.37,0.0,2026-02-23,,Pendente,Non repudiandae quam.
12,1,,2.0,A Pagar,43185.42,37419.84,2026-02-18,2026-03-05,Pago,Nisi minima soluta ratione maxime iste.
13,1,,6.0,A Pagar,34491.43,34491.43,2026-08-21,2026-08-30,Pago,Soluta doloribus modi.
14,1,4.0,,A Receber,39437.05,39437.05,2026-10-27,2026-10-26,Pago,Nam maiores occaecati.
15,1,21.0,,A Receber,19138.54,0.0,2025-09-24,,Pendente,Ipsa sunt quo enim.
16,1,49.0,,A Receber,14819.26,0.0,2025-11-13,,Pendente,Nostrum amet maxime consequuntur.
17,1,,39.0,A Pagar,33506.74,33506.74,2026-08-22,2026-09-02,Pago,At magnam debitis nesciunt tempora.
18,1,,10.0,A Pagar,9033.53,9033.53,2026-04-24,2026-04-20,Pago,Impedit iste debitis nihil quae.
19,1,25.0,,A Receber,23603.06,23603.06,2025-11-28,2025-11-24,Pago,At eum officiis quae cum.
20,1,,1.0,A Pagar,33203.24,0.0,2026-07-12,,Vencido,Beatae ipsum facilis.
21,1,23.0,,A Receber,31942.4,0.0,2026-04-14,,Pendente,Quas voluptate nostrum cum mollitia.
22,1,34.0,,A Receber,7752.94,7752.94,2025-09-22,2025-09-30,Pago,Totam natus optio corrupti.
23,1,,18.0,A Pagar,25730.62,0.0,2026-09-08,,Cancelado,Quisquam amet est quas.
24,1,43.0,,A Receber,2735.2,2735.2,2026-10-17,2026-10-30,Pago,Occaecati blanditiis consectetur dicta.
25,1,47.0,,A Receber,2381.1,2381.1,2026-05-26,2026-05-22,Pago,Accusamus libero libero rem.
26,1,14.0,,A Receber,12247.38,12247.38,2026-05-20,2026-05-29,Pago,Dolores nihil labore illum aspernatur nobis.
