id_documento,id_empresa,id_cliente,id_fornecedor,tipo_documento,numero_documento,serie_documento,chave_acesso,data_emissao,tipo_operacao,valor,status_documento
1,1,20.0,,NFS-e,173529,6,99045301742684145933272795687833918785191088,2026-02-21,Saída,68387.98,Ativa
2,1,,38.0,CT-e,125395,3,71870728679087406403910651801704622656766182,2026-07-17,Entrada,79429.17,Ativa
3,1,,15.0,CT-e,249411,5,00478686337524310690331190790306738302843959,2026-04-10,Entrada,70125.41,Inutilizada
4,1,,27.0,NFS-e,55040,5,44089268705685662462873342708668826343517518,2026-07-15,Entrada,30298.0,Ativa
5,1,,5.0,NFC-e,310531,3,39837354033173936385467854458771753556093204,2025-11-01,Entrada,15856.1,Ativa
6,1,,32.0,CT-e,18975,9,85477725228728080100623120387509977008860084,2026-03-16,Entrada,65089.95,Ativa
7,1,,7.0,CT-e,943996,9,18233984546156793341016668700217659180339740,2026-02-15,Entrada,45168.09,Ativa
8,1,2.0,,NF-e,87023,5,39261429396856218501631599965047735866296194,2026-06-30,Saída,12506.83,Ativa
9,1,,25.0,NFS-e,67340,3,55110475412126788861015819956046618398262244,2026-03-20,Entrada,34887.17,Ativa
10,1,5.0,,NFS-e,715827,9,54379937124065965756924593752654793564651939,2026-02-16,Saída,2347.91,Ativa
11,1,,29.0,NFS-e,468432,6,41672434266179796886805891135290965610143888,2026-06-14,Entrada,31412.51,Ativa
12,1,,23.0,NFS-e,472413,10,07146112545738757177514010512382825867362266,2026-03-07,Entrada,34478.32,Ativa
13,1,,14.0,NFC-e,195776,8,41918255371478596969155792499125134125286692,2026-05-29,Entrada,50913.03,Ativa
14,1,,36.0,CT-e,569373,1,27422579050723688767677219034043842797881914,2026-07-23,Entrada,60848.33,Ativa
15,1,,28.0,NFS-e,799462,7,13407451713395962923309584982544948126042232,2026-04-18,Entrada,39258.81,Ativa
16,1,41.0,,NFC-e,213146,3,66711684577590175186363745458929750017012770,2026-01-14,Saída,70595.39,Ativa
17,1,6.0,,NFS-e,462477,6,66711684577590175186363745458929750017012770,2026-04-18,Saída,57850.08,Ativa
18,1,,27.0,NFC-e,384162,9,97311219656523413899940438983640376137918055,2025-12-30,Entrada,54698.78,Ativa
19,1,,2.0,NFS-e,126245,1,91043006848666188924141832856914630316179904,2025-09-27,Entrada,56690.47,Ativa
20,1,,32.0,NF-e,580720,7,58842524105648149177850792524191380003075622,2026-08-23,Entrada,18116.32,Ativa
21,1,18.0,,NFC-e,891247,5,19518023806174451870534949375973832060385050,2026-06-29,Saída,8495.13,Ativa
22,1,,27.0,CT-e,808756,4,70241038657191826199062344565574313291212775,2025-11-12,Entrada,36262.98,Ativa
23,1,,6.0,CT-e,129479,1,24903521356804420678831712100323651994101372,2026-05-11,Entrada,75394.0,Ativa
24,1,47.0,,NF-e,335367,10,67066253244720999347687014626383806578759856,2026-06-10,Saída,17677.81,Ativa
25,1,4.0,,NFS-e,846619,3,67066253244720999347687014626383806578759856,2025-10-30,Saída,27392.57,Ativa
26,1,4.0,,NFS-e,348255,2,02921851569154522675289539264422096902959391,2025-12-16,Saída,19192.07,Inutilizada
27,1,,6.0,NFC-e,739726,1,57043315410067626765861793271040541152621815,2026-01-31,Entrada,34619.6,Ativa
28,1,11.0,,NFC-e,388345,3,01533688444310698720506149731032417146774186,2025-12-30,Saída,35772.87,Ativa
29,1,17.0,,NFS-e,875625,10,34902115869380686879374160898992172233206163,2025-10-09,Saída,20779.33,Cancelada
30,1,,6.0,CT-e,725056,4,68685487099861622999119148564679970246299606,2026-05-02,Entrada,4133.42,Ativa
31,2,24.0,,NFC-e,530663,7,05444713247546913736785082148628902330307053,2025-09-19,Saída,50905.7,Ativa
32,2,,16.0,NFC-e,613879,2,57972798552414060293333468007229034944665743,2026-08-12,Entrada,786.34,Inutilizada
33,2,36.0,,NFS-e,777909,5,99441715454443283096520744666099353875842824,2025-11-08,Saída,58069.89,Ativa
34,2,,22.0,CT-e,220553,3,99441715454443283096520744666099353875842824,2025-09-15,Entrada,46187.06,Ativa
35,2,,9.0,NFC-e,21053,4,96666760083505830033542168942104478985625753,2025-10-13,Entrada,18100.84,Inutilizada
36,2,,2.0,NFS-e,816749,5,98215064890901001676184723046184992618914117,2025-11-12,Entrada,66553.61,Cancelada
37,2,46.0,,CT-e,922148,2,64208737530011972181143744701204556110022557,2025-09-15,Saída,29935.25,Ativa
38,2,,26.0,NFS-e,506339,6,67467621202169797296590277167014508993588916,2026-04-26,Entrada,53164.11,Ativa
39,2,,36.0,NFS-e,687393,8,90028772175354083866317797177517016608801994,2026-01-23,Entrada,76038.34,Ativa
40,2,,15.0,NFC-e,5548,9,75899757113055488510272614933163735160917798,2026-03-01,Entrada,58949.87,Ativa
41,2,38.0,,NFC-e,707995,9,78292216995866934654722698485833394522885158,2026-04-19,Saída,23017.05,Ativa
42,2,,34.0,NFS-e,814848,4,10620034244204380571983863840666580043973598,2026-04-07,Entrada,23675.38,Ativa
43,2,,12.0,CT-e,348148,6,28160648422940572025909479851583281826886153,2025-09-21,Entrada,23627.23,Cancelada
44,2,36.0,,CT-e,40726,2,01573993056164840858877043581128801336138612,2025-11-23,Saída,6045.19,Ativa
45,2,36.0,,NFS-e,130221,1,19346676650618091901581449147660728326842450,2026-05-24,Saída,601.38,Ativa
46,2,,20.0,CT-e,847934,6,35368222394312908781414139755231491357759492,2025-09-08,Entrada,76700.98,Ativa
47,2,16.0,,NF-e,417059,6,36452577754781291428341108099693084887256394,2026-08-06,Saída,40272.95,Ativa
48,2,,33.0,CT-e,857934,6,27229927503731453038567700518449892665918463,2026-05-01,Entrada,39051.55,Ativa
49,2,,33.0,NF-e,922183,5,27231843222591365177739260302992280920242869,2026-08-08,Entrada,75790.86,Ativa
50,2,31.0,,CT-e,918319,1,23692929842579913662103886291279908811729806,2026-07-04,Saída,55871.9,Ativa
51,2,50.0,,NFC-e,188401,6,65991624731498643009818063565126944869594636,2026-02-21,Saída,44815.69,Ativa
52,2,37.0,,NF-e,823041,10,56213721386589026012796114351906698490277038,2026-04-25,Saída,40941.72,Ativa
53,2,,3.0,CT-e,728912,8,53021465669380118489554393769042681818451848,2026-01-13,Entrada,77291.23,Ativa
54,2,,22.0,NF-e,126701,2,77907141633565880434165182755394237333433339,2026-06-02,Entrada,54129.81,Ativa
55,2,,35.0,NFC-e,643865,6,07595794728463920867808562718750036915594284,2026-07-26,Entrada,29400.75,Ativa
56,2,,27.0,CT-e,588569,9,55647292931438663227026728857448906120347175,2026-07-01,Entrada,74561.2,Ativa
57,2,,27.0,NF-e,132113,4,15939982455877169472256996112535544964759876,2026-06-20,Entrada,53029.4,Cancelada
58,2,,14.0,CT-e,954075,6,26111780068114921643347228200557784872829979,2025-09-25,Entrada,38635.8,Ativa
59,2,,29.0,CT-e,433961,4,45642400825478077406493085368663266341638944,2026-04-17,Entrada,68307.87,Ativa
60,2,8.0,,CT-e,857949,7,79749735020802144270312073564757051204618723,2026-03-16,Saída,66294.51,Ativa
61,3,,25.0,NF-e,720265,10,73037183764520881474350313650249163009792513,2026-05-30,Entrada,27206.08,Cancelada
62,3,,4.0,NFC-e,770295,3,73037183764520881474350313650249163009792513,2026-07-05,Entrada,70658.0,Ativa
63,3,50.0,,NF-e,491795,1,93518638782945651181022031731096789940539103,2025-10-02,Saída,29001.9,Ativa
64,3,24.0,,NFC-e,802305,7,09480141381138633839288619576122868528975585,2025-11-21,Saída,66127.17,Ativa
65,3,,37.0,NFS-e,770933,2,83684577600490824043350488899210752245933441,2026-03-12,Entrada,57941.73,Ativa
66,3,,32.0,NF-e,575779,7,91940961055661390604805892583206799813646225,2025-10-10,Entrada,21152.13,Ativa
67,3,50.0,,NF-e,255854,10,22783769389833146591166553559042597927033521,2025-11-27,Saída,74153.03,Ativa
68,3,1.0,,NF-e,948778,6,51477053833884879206980420439407016451046368,2026-01-22,Saída,38876.04,Ativa
69,3,,12.0,NFS-e,217800,3,38780038457620555438404608432562168936392649,2025-11-13,Entrada,46566.25,Ativa
70,3,,9.0,NFC-e,747606,6,48262925188125205664742312209949993933051728,2026-05-01,Entrada,14881.32,Ativa
71,3,9.0,,NF-e,200072,5,23306046333127975736609656999880817703886086,2026-03-31,Saída,35276.4,Ativa
72,3,30.0,,NFS-e,957566,6,26490827718129826657027937145211175186892686,2026-08-15,Saída,45326.23,Ativa
73,3,,11.0,NF-e,153436,1,22064474212309407778097339776719903849830220,2026-03-26,Entrada,53426.32,Ativa
74,3,22.0,,CT-e,448798,10,10162249998279501455616814721458683390198179,2026-03-26,Saída,67854.28,Ativa
75,3,9.0,,CT-e,968080,8,99787729343010713966055830344144885015569902,2026-06-03,Saída,73309.81,Ativa
76,3,,31.0,NFS-e,118683,6,27857608495880395512405682996291450461735743,2026-06-10,Entrada,62838.53,Ativa
77,3,,29.0,CT-e,157574,3,80782357845218230768104091570184094353344857,2026-04-02,Entrada,22036.22,Ativa
78,3,,14.0,NFC-e,494403,4,85854249321495870207016016629979545381792171,2026-05-08,Entrada,75806.37,Ativa
79,3,24.0,,NFC-e,595764,6,62557701715772459928161581487696393827615396,2026-05-18,Saída,43653.25,Ativa
80,3,,37.0,NFC-e,889811,3,62557701715772459928161581487696393827615396,2026-02-06,Entrada,68229.91,Ativa
81,3,,1.0,NFC-e,404402,6,85140369656666832723865624220102762126796927,2025-10-11,Entrada,18214.13,Ativa
