id_fornecedor,cnpj,razao_social,categoria_fornecimento,criado_em
1,50.158.151/0001-84,Barbosa,Consultoria,2026-01-19 05:26:38.906139
2,74.973.643/0001-30,Viana,Tecnologia,2026-04-05 02:19:02.401958
3,75.182.971/0001-33,Lima Camargo - EI,Transporte,2025-02-15 07:47:34.944700
4,86.169.791/0001-40,da Mata Casa Grande S/A,Marketing,2024-10-17 16:05:13.736992
5,25.683.352/0001-84,Peixoto,Tecnologia,2026-03-05 04:54:32.221025
6,89.183.529/0001-94,Macedo,Construção,2024-12-03 22:39:01.123307
7,43.309.785/0001-50,Sampaio,Serviços,2025-06-25 03:07:40.153943
8,43.505.234/0001-95,Montenegro,Alimentos,2025-10-03 13:14:21.231546
9,68.423.869/0001-19,Barros,Tecnologia,2025-11-14 23:02:00.124705
10,68.736.676/0001-22,Sousa,Transporte,2025-04-27 13:19:44.226280
11,78.318.618/0001-43,Alves,Insumos,2024-11-09 19:38:26.902232
12,54.170.350/0001-57,Teixeira e Filhos,Alimentos,2026-04-27 03:18:16.762820
13,30.548.953/0001-79,Teixeira S.A.,Alimentos,2025-08-13 19:08:10.534269
14,88.926.769/0001-77,da Mota,Tecnologia,2025-01-14 16:19:20.211571
15,95.936.667/0001-48,Porto,Transporte,2026-04-21 21:29:35.508405
16,27.370.218/0001-23,Melo Ltda.,Insumos,2025-06-29 09:30:15.960949
17,44.388.719/0001-36,Rios,Construção,2024-11-19 12:20:11.886805
18,36.803.749/0001-43,Farias Jesus e Filhos,Consultoria,2025-09-01 00:52:00.181500
19,42.966.152/0001-21,Teixeira,Marketing,2025-10-10 22:34:16.927636
20,45.145.103/0001-52,Borges,Insumos,2025-04-21 20:30:19.792579
21,91.368.265/0001-66,Camargo,Marketing,2026-08-13 19:21:16.590261
22,81.109.214/0001-19,Moraes,Insumos,2026-04-29 16:46:09.945538
23,79.136.954/0001-57,Ribeiro - EI,Insumos,2025-08-07 13:41:21.113693
24,65.230.142/0001-49,Correia - EI,Construção,2025-05-26 09:05:01.453997
25,15.466.315/0001-97,Pires,Serviços,2025-07-24 00:11:29.481830
26,95.205.462/0001-81,Costela Ltda.,Marketing,2025-10-10 07:11:48.313262
27,89.867.258/0001-40,Macedo,Insumos,2026-06-09 13:07:18.320907
28,32.522.125/0001-32,Campos,Construção,2024-09-25 04:40:00.747198
29,62.921.785/0001-41,Santos Castro Ltda.,Alimentos,2025-10-11 11:35:12.244971
30,30.906.818/0001-23,Borges,Marketing,2025-02-15 05:53:08.778944
31,14.979.581/0001-38,Martins S/A,Serviços,2025-12-21 05:52:37.307183
32,68.458.412/0001-39,Monteiro Silva Ltda.,Serviços,2025-09-10 19:50:29.674673
33,13.775.297/0001-61,Leão,Construção,2026-05-06 20:31:16.366884
34,45.985.171/0001-45,da Cruz,Construção,2025-08-03 18:42:10.256770
35,92.621.509/0001-96,Gomes Correia - EI,Construção,2025-09-10 08:46:37.280803
36,13.218.998/0001-43,Azevedo da Mota - ME,Insumos,2025-05-10 09:04:16.639787
37,84.371.139/0001-23,Abreu,Marketing,2025-03-29 17:08:20.251929
38,54.846.905/0001-50,Pastor,Marketing,2025-11-01 17:28:48.250870
39,87.623.218/0001-59,Cassiano,Serviços,2025-07-27 07:11:46.387505
40,42.145.825/0001-65,Ferreira,Tecnologia,2025-05-04 22:43:09.836432
