id_movimentacao,id_empresa,data_movimentacao,tipo_operacao,categoria,descricao_movimentacao,valor_movimentacao,conciliada
1,1,2025-10-01,Entrada,Receita de Venda,Excepturi possimus officiis sequi sequi.,12619.71,0
2,1,2026-07-14,Saída,Salário,Veritatis occaecati suscipit laborum molestiae nulla.,13716.94,0
3,1,2025-11-28,Entrada,Aporte de Capital,Voluptatum quia inventore atque odio.,24971.67,0
4,1,2026-07-19,Entrada,Recebimento de Cliente,Cumque error adipisci eveniet animi facere.,32974.87,0
5,1,2026-02-08,Entrada,Receita de Venda,Minus natus recusandae cumque aspernatur.,39031.81,0
6,1,2026-07-18,Entrada,Recebimento de Cliente,Placeat libero nesciunt doloremque odit itaque pariatur tempore.,40303.44,1
7,1,2026-02-20,Saída,Pagamento de Fornecedor,Perspiciatis culpa ipsam exercitationem nesciunt.,16766.43,0
8,1,2026-04-25,Entrada,Aporte de Capital,Porro itaque error voluptatum sequi autem.,7100.29,0
9,1,2026-01-21,Saída,Manutenção,Nemo voluptatibus eos voluptate omnis earum.,28506.18,0
10,1,2026-03-29,Saída,Marketing,Tenetur quia rerum.,24934.02,0
11,1,2026-07-30,Saída,Aluguel,Non explicabo odio numquam perspiciatis.,22335.3,0
12,1,2026-05-25,Saída,Despesas Administrativas,Occaecati temporibus officia est.,7849.83,1
13,1,2026-02-11,Entrada,Empréstimo,Facilis consectetur tenetur eveniet impedit dicta ratione soluta.,38407.78,1
14,1,2026-01-15,Saída,Impostos,Totam rerum ducimus repudiandae laboriosam rem quia.,8310.46,0
15,1,2026-01-05,Entrada,Empréstimo,Iusto asperiores quidem dolorem.,12107.43,0
16,1,2026-05-08,Saída,Manutenção,Voluptas rem facilis ratione accusamus modi.,26801.5,1
17,1,2026-02-16,Entrada,Recebimento de Cliente,Nesciunt reprehenderit velit autem doloremque.,7966.12,0
18,1,2025-09-13,Saída,Aluguel,Eveniet nostrum officia odio iure praesentium officiis.,21221.93,0
19,1,2025-10-16,Entrada,Aporte de Capital,Veniam esse laudantium.,20676.17,0
